title,genres,release_date,release_country,review_rating,movie_run_time,cast,language,filming_locations
One Last Sunset Redux (2015),Action| Drama| Horror| Thriller| War,24-10-2015,USA,4.6,80 min,Clemeen Connolly|Addy Miller|Dahlia Legault|Brandy Renee Brown|Alma Hill|Patrick C. Greene|Taylor-Grace|Bea W. Bliss|Kayona Ebony Brown|Stephanie Renee Morgan|Daniel Sebille|Keith Tramel|Jordyn Ballentine|Michael Howard|Sergey Rakhmanov,English,"Boone, North Carolina, USA"
Beautiful People (2014),Horror,29-07-2015,Philippines,4.4,75 min,Danny Cutler|Alex Lucchesi|Alex Southern|Kate Davies-Speak|David White|James Wiles|Vanina Marini|Alexandra Antonioli|Ettore Nicoletti|Tania Caceres Alessi|Andrea Azzali|Enrico Galli|Andrea Levialdi Ghiron|Luca Iori|Gianmarco Laterza,English,"Rome, Lazio, Italy"
Killer Ink (2016),Horror,11-10-2016,USA,5.9,92 min,Peter Mayhew|Digger Mesch|Joshua Caleb Grant|Raquael Torres|Kaye Taavialma|Jennifer Wilde|Christine Dawson|Caleb Grant|Kristin Keating|Ryan Martin|Christopher C. Romero|JL Myers|Lewis James|Michael A. Windecker II|Thomas Giles,English,"Denver, Colorado, USA"
Golpo Holeo Shotti (2014),Horror,04-07-2014,India,6.3,116 min,Soham Chakraborty|Mimi Chakraborty|Rajatabha Dutta|Saayoni Ghosh|Sujan Mukherjee|Biplab Banerjee|Bidipta Chakraborty,Bengali,"Kolkata, West Bengal, India"
Cross Bearer (2013),Horror,09-10-2013,USA,3.3,71 min,Isaac Williams|Natalie Jean|J.D. Brown|Victoria DePaul|Kacie Marie|Tim Cronin|Julia Campbell|Shaun Paul Costello|Kelsey Lehman|Dawn Vaughn|Doug Sakmann|Joseph Frantz|Wyn Nugyen|Stacia Eve Paul|Raichyl Sinversa,English,"Philadelphia, Pennsylvania, USA"
Blood Drive: The Movie (2013),Horror| Thriller,01-02-2013,USA,6.8,71 min,Sophia Robbins|Archer King|Liane Wunderlich|Mike Roche|Leatha Sturges|Kelly Collins|Eric Mache|Michael Townsend Wright|Alessio Bordoni|Mari Howells|Roland Uruci|Sarah-May Levy|Perri Yaniv|Enzo de Napoli|Erel Pilo,English,"New York City, New York, USA"
Scary Story Slumber Party (2017),Horror| Thriller,17-01-2017,USA,5,76 min,Faron Brown|Russell A. Bryan|Takiah Coleman|Brittany Colley|Henry D'Alonzo|Lauren Dawson|Lauren Dawson|Jessica Dole|Heather Dorff|Jay Gates|Jackey Hall|Sierra Holmes|Sarah Kaminski|Casey Lane|Rachael Lang,English,"Richmond, Virginia, USA"
Ciaran the Demon Hunter (2016),Fantasy| Horror,14-05-2016,France,6.9,82 min,Peter J. Morton|Joanna Ranee Wood|Megan Porter|Nell Teare|Nikki BreAnne Wells|Iva Stelmak|John J. Joseph|Vinny Silva|Matthan Harris|Paul Cross|Katy Foley|Ron Schultz|Klaus Havelund|Leonel Claude|Tory Lackie,English,"Los Angeles, California, USA"
The Long Island Serial Killer (2013),Crime| Horror| Thriller,12-11-2013,USA,7,81 min,Jennifer Polansky|Adam Ginsberg|Dewey Wynn|Renee Kay|Ryan Kaiser|Lindsay DeLuca|Matthew Smolko|Josephine Pizzino|Stav Livne|Joe Mankowski|Guy Balotine|Chrissy Laboy|Sara Koviak|Patrick Devaney|Jeffrey Alan Solomon,English,"New York City, New York, USA"
Christmas with the Dead (2012),Horror,25-11-2012,Italy,6.2,88 min,Damian Maffei|Brad Maule|Chet Williamson|Clyde Williams|Madeline Brassell|Marsail Carlo|Katie Chambers|Adam Coats|Jennifer Daniel|David Evett|Kristen Hall|Sheri Hambrick|James Harris|Jaime Hedrick|Christopher Shea Howard,English,"Nacogdoches, Texas, USA"
The Cabining (2014),Comedy| Horror| Thriller,16-01-2015,USA,4.3,83 min,Mike Kopera|Bo Keister|Angela Relucio|Melissa Mars|Luce Rains|Richard Riehle|Mark Rademacher|Chuck Saale|Joseph Barone|Jackson Thompson|Alice Sherman|Peter M. Howard|Blake Silver|Robin Dionne|Ian Michaels,English,"Michigan, USA"
Loss of Life (2013),Horror,25-10-2013,USA,4.5,78 min,Randi Leigh Borden|Charlie Glackin|Melvin Gregg|Matthew Jordan|Ani Kokikyan|Chris Tyler Link|Trevon Morales|Chris Petrovski|Reggie Range|Ben Robert Thompson|Elijah Vegas|'Ace Primo' Niko Warren,English,"Los Angeles, California, USA"
Bhangarh: The Last Episode (2017),Horror,30-03-2017,India,7,84 min,Prashant Barot|Deepanshu Malik|Rumana Molla|Rajesh Pathak|Sonel Singh,Hindi,"Bhangarh, India"
