title,genres,release_date,release_country,review_rating,movie_run_time,cast,language,filming_locations
Gut (2012),Drama| Horror| Thriller,26-10-2012,USA,3.9,91 min,Jason Vail|Nicholas Wilder|Sarah Schoofs|Kirstianna Mueller|Kaitlyn Mueller|Angie Bullaro|Ria Burns-Wilder|Miles Joris-Peyrafitte|Karl Pfeiffer|Leisa Haddad|Misty Gonzalez|Jordan Sariego|Christine Kadets|Deborah J. Atuk|J. Brett Rose,English,"New York, USA"
Treasure Chest of Horrors II (2013),Comedy| Horror| Thriller,23-04-2013,USA,3.7,82 min,Veronica Ricci|Nicholas Adam Clark|James Cullen Bressack|Nick Waugh|Shawn C. Phillips|Brent Buser|Miles Dougal|Joseph Frantz|M. Kelley|Brendan Mitchell|Joben Penuliar|Ethan Phillips|Kim Phillips|Stephen Phillips|Alex Powers,English,"Baltimore, Maryland, USA"
Parasyte: Part 2 (2015),Action| Drama| Horror| Sci-Fi,25-04-2015,Japan,6.5,117 min,Shôta Sometani|Eri Fukatsu|Ai Hashimoto|Sadao Abe|Satoshi Araki|Tadanobu Asano|Kazuki Kitamura|Jun Kunimura|Nao Ohmori|Pierre Taki,Japanese,"Tokyo, Japan"
Stranger in the House (2015),Horror| Mystery| Thriller,28-05-2017,Spain,4.6,90 min,Annabella Sciorra|Tammy Blanchard|Nathan Darrow|Dennis Boutsikaris|Jenn Liu|Roberta Maxwell|Bettina Skye|Angela Lin|Susan-Kate Heaney|Paul Urcioli|Yvette Mercedes|Peter Sabri|Fatima Mai|Denis Silvestri|Mike Nojun Park,English,"Warwick, New York, USA"
Rise of the Animals (2011),Adventure| Comedy| Horror,01-05-2012,USA,3.6,70 min,Greg Hoople|Stephanie Motta|Adam Schonberg|Nikki Preston|Charles Bigelow|Phillip Musumeci|Katie LeVander|Melissa Orioli|Laura Blank|Tricia Dalusio|Brittany Cerra|Renee Radwan|Justine Turner|Max Roth|Charlie Roth,English,"Rochester, New York, USA"
Dark Medicine (2013),Horror| Sci-Fi,01-01-2013,USA,2.8,72 min,Ola Akinroluyo|Byron Baudo|Josh Bednarsky|Emily Brooks|Corey Browne|Shawn Calloway|Drew Chase|JinYoung Choi|Russ Kingston|Abbey Kochman|Nyell Leahy|Kelci C. Magel|Robert Maxwell|Tariq Nasheed|Rachelle Neal,English,"Atlanta, Georgia, USA"
Sexy Durga (2017),Drama| Fantasy| Horror| Mystery| Thriller,21-03-2017,USA,5.9,85 min,Rajshri Deshpande|Bilas Nair|Arun Sol|Sujish|Vedh,Malayalam,"Thiruvananthapuram, Kerala, India"
Circus of the Dead (2014),Action| Horror| Thriller,13-01-2017,USA,6,102 min,Bill Oberst Jr.|Parrish Randall|Chanel Ryan|Roger Edwards|Brad Potts|Ryan Clapp|Rusty Edwards|Mike Williams|Jed Duesler|Travis Steele|Steve Brooks|Jordan Bell|Madi Lane|Kyle Mueller|Sergio Gracida,English,"Odessa, Texas, USA"
Zombie Resurrection (2014),Horror,23-03-2015,UK,2.7,86 min,Eric Colvin|Jim Sweeney|Danny Brown|Simon Burbage|Jade Colucci|Joe Rainbow|Rachel Nottingham|Shamiso Mushambi|Georgia Winters|Rupert Phelps|Jamie Frampton|Kate Korbel|Andy Bazire|Ian McIntyre|Jake Hawkins,English,"Hampshire, England, UK"
Falling (2016),Drama| Horror| Romance| Thriller,08-04-2016,USA,7.1,105 min,Josh Helman|Yael Stone|Jennifer Allcott|Paul Sorvino|Yvonne Cone|Slate Holmgren|Danny Lane|Melissa Almas|Sashah Askari|Marc Brockett|Paul Buckley|Laura Calhoun|Joe Caruso|Kallie Flynn Childress|Heather Delia,English,"Utica, New York, USA"
Devil's Tower (2014),Horror,16-09-2014,UK,3.4,82 min,Jason Mewes|Roxanne Pallett|Frances Ruffelle|Jessica-Jane Stafford|Emma Buckley|Kweku Amoa|Peter Barrett|Jason Owen Bee|Jason Thomas Brown|Jessica Ann Brownlie|Alison Carroll|Adam Dakin|Emily Denton-Davies|Lee Dilley|Steven Dolton,English,"Derbyshire, England, UK"
I Am ZoZo (2012),Horror| Thriller,18-02-2012,USA,3.6,85 min,Kelly McLaren|Courtney Foxworthy|Demetrius Sager|Caleb Courtney|Caleb Debattista|Darren Wayne Evans|John Vejvoda|Sophia Mitri Schloss|Demeri Millikin,English,"San Juan Island, San Juan Islands, Washington, USA"
Before Dawn (2013),Horror,08-06-2013,Japan,4.7,82 min,Dominic Brunt|Joanne Mitchell|Eileen O'Brien|Nicky Evans|Alex Baldacci|Alan French|Holly Illis|David Nolan|Neale Myers|Bryn Hammond|Mark Charnock|Tony Earnshaw|Ian Jowett,English,"Yorkshire, England, UK"
Apparition (2015),Fantasy| Horror| Thriller,05-05-2015,USA,4,100 min,Katrina Law|Jody Quigley|Lili Bordán|Jarett Armstrong|Rebeka Choudhury|Airen DeLaMater|Dave Droxler|Joseph Forsstrom|Pete Postiglione|Megan Rose|Thomas Roy|Tom Settefrati|Margo Trovei,English,"Philadelphia, Pennsylvania, USA"
Don't Look in the Basement 2 (2015),Horror| Thriller,25-05-2016,USA,4,88 min,Andrew Sensenig|Frank Mosley|Arianne Martin|Jim O'Rear|Scott Tepperman|Megan Emerick|Willie Minor|Camilla Carr|Earl Browning III|Brady McInnes|Carolyn King|Chester Rushing|Libby Hall|Kim Foster|Joseph Spector,English,"Tehuacana, Texas, USA"
2: Voodoo Academy (2012),Horror,01-10-2012,USA,4.5,75 min,Alex Fox|Michelle Bauer|Brandon Schinaman|Josh Randall|Shawn McCormick|Alex Bugaj|Richie Nuzzolese,English,"Malibu, California, USA"
Return of the Killer Shrews (2012),Horror,01-01-2012,USA,2.7,84 min,John Schneider|Jennifer Lyons|Bruce Davison|James Best|Jason-Shane Scott|Sean Flynn|Rick Hurst|Jeneta St. Clair|Katherine Randolph|Maggie Wagner|Holly Weber|Christopher Goodman|David Browning|Megan Rebelo|Jason Nguyen,English,"Sanna Movie Ranch - Soledad Canyon Road, Agua Dulce, California, USA"
Septic Man (2013),Horror,15-08-2014,USA,4.1,83 min,Jason David Brown|Molly Dunsworth|Julian Richings|Robert Maillet|Timothy Burd|Stephen McHattie|Nicole G. Leier|Charlie Baker|Tony Burgess,English,"Collingwood, Ontario, Canada"
The Perfect House (2013),Horror,01-01-2013,USA,4.3,84 min,Felissa Rose|Jonathan Tiersten|John Philbin|Dustin Stevens|Monique Parent|Andrea Vahl|William A. Robertson|Kris Smith|Timothy Dugan|Alex Victoria|Michael Wagner|Holly Greene|Hans Hernke|Becky Friedman|Angelina Leigh,English,"Buffalo, New York, USA"
Her Cry: La Llorona Investigation (2013),Horror,19-04-2013,USA,5.4,89 min,Nichole Ceballos|James Ezrin|Ron Gelner|Everardo Guzman|Parker Riggs|Gabrielle Santamauro,English,"Houston, Texas, USA"
The Canadoo (2016),Horror,02-11-2016,USA,4,74 min,Tyler Buckingham|Alina Lia|Dréy Wigfall|Ali Roberts|Teddy Cole|Brook Todd,English,"Atlanta, Georgia, USA"
Haunted House on Sorority Row (2014),Horror,21-02-2014,USA,5.6,81 min,Erin R. Ryan|Marylee Osborne|Iabou Windimere|Joni Durian|Tonjia Atomic|Haley Madison|Joe Kidd|Tara Clark|Chandra McCracken|Rachael Redolfi|Eric Widing|Mike Hilinski|Brandi Baird|Rachel Ritter,English,"Dayton, Ohio, USA"
Victimized (2014),Drama| Horror| Thriller,27-09-2014,USA,6.9,80 min,Michael Kenneth Fahr|Sarah Nicklin|Cuyle Carvin|Ellen J. Pilch|Jesse Murphy|Ron Phippen|Dustin Hubbard|Michael Omiecinski|Candice Cole|Mark Debenedictis|T.C. Top Cat Taylor|Joey Garcia|Peter Lucibello,English,"Sarasota, Florida, USA"
The Unwanted (2014),Drama| Horror| Mystery| Romance,31-03-2014,USA,4,95 min,Hannah Fierman|Christen Orr|William Katt|Lynn Talley|Kylie Brown|Elizabeth Hunter|Chris Burns|Neal R. Hazard|Jane Bass|Robert Hatch,English,"Atlanta, Georgia, USA"
Hotel Inferno (2013),Action| Horror,16-12-2013,USA,4.7,80 min,Rayner Bourton|Michael Howe|Jessica Carroll|Christian Riva|Wilmar Zimosa|Santiago Ortaez|Monica Muñoz|Riccardo Valentini|Mauro Migliorini|Bonini Mino|Pierluigi Nitas|Enrique Sorres|Giulio De Santi|Carlos F.|Alessia Knox,English,Tunisia
Play Motel (1979),Crime| Horror| Romance| Thriller,25-08-2015,USA,5.3,90 min,Ray Lovelock|Anna Maria Rizzoli|Mario Cutini|Antonella Antinori|Patrizia Behn|Enzo Fisichella|Marina Hedman|Mario Novelli|Marino Masé|Patrizia Webley|Vittorio Ripamonti|Bob Balisteri|Bruno Di Luia|Franco Beltramme|Michele Zurlaro,Italian,"Cine International, Rome, Lazio, Italy"
The Ouija Exorcism (2015),Horror,06-10-2015,USA,2.1,87 min,J. Damian Anastasio|Brittney Bertier|Cameron Bigelow|Jay Brothers|Tony Harutyunyan|Lola Kelly|Laura Kirchner|Walker Mintz|Ben Morrison|Lynne Newton|Michael Palladino|Julia Rae|Branden Smith,English,"Los Angeles, California, USA"
Soldiers of the Damned (2015),Action| Horror| Thriller| War,08-08-2015,UK,3.6,99 min,Gil Darnell|Miriam Cooke|Lucas Hansen|Tom Sawyer|Jason Kennedy|Mark Fountain|Matthew John Morley|Nicholas Keith|Nicky Bell|Renny Krupinski|Alan French|Andonis Anthony|Natalia Ryumina|Andrei Zayats|Stuart Adams,English,"Cumbria, England, UK"
Smothered (2016),Comedy| Horror,29-03-2016,USA,4.1,96 min,Kane Hodder|R.A. Mihailoff|Bill Moseley|Dane Rhodes|Malcolm Danare|Don Shanks|Rachel Alana Handler|Amy Brassette|Ritchie Montgomery|Michael Berryman|Andrew Bowen|Joseph Randy Causin|Edward A. Chambers|Rebecca Collins|Aiden Flowers,English,"Baton Rouge, Louisiana, USA"
Scars (2016),Horror,23-01-2017,UK,3.9,108 min,Danielle Cole|Neale Kimmel|Matt Wells|Eric Regimbald|Ophilia Davis|Nigel Downer|Chris Handfield|Greg LeGros|Jennifer McAuliffe|Jon Pressick|Ryan Alexander Scott II|Tennessee Webb,English,"Toronto, Ontario, Canada"
Legend Has It (2009),Horror,17-09-2014,UK,4.1,95 min,Todd Oeltze|Julia Fazakerly|Heath Finn|Amanda Ward|Jared Cohn|Theodore Perkins|Andreas Wigand|Teresa Berkin|Peter Choyce|Sebastien Szumilas|Mark Irvingsen|Jeff Blumberg|Jim Asseltyne|Mike Nelsen|Randy Hallusen,English,"Pasadena, California, USA"
Sociopathia (2015),Horror,19-11-2015,USA,4.3,86 min,Nicola Fiore|Asta Paredes|Ruby Larocca|Tammy Jean|George Stover|Rich Mallery|Nicolette le Faye|Brandy Noir|Desiree Saetia|Tabetha Ray|Matthew Garrett|Cori Dials|Sean Murray|Dante Rene|Nick Decarlo,English,"Baltimore, Maryland, USA"
Echoes (2014),Drama| Horror| Thriller,18-05-2015,Sweden,4.4,93 min,Kate French|Steven Brand|Steve Hanks|Billy Wirth|Caroline Whitney Smith|Kevin Brewerton|Nicolas Charles|Ivory Dortch|Tina Huang|Stacey Souther|Oxley,English,"Joshua Tree, California, USA"
In the Dark (2015),Horror| Thriller,06-10-2015,USA,4.1,85 min,Scott Aaker|Andria Armstrong|Shannon Beals|Olivia Bishop|Clay Brocker|Raven Bryant|Emily Byrd|Chris Carson|Chris Cavolo|Vince Cusomato|Leah Fincher|Katie Groshong|Cooper Guy|Justin Hand|William J. Harrison,English,"Nashville, Tennessee, USA"
Fetish Dolls Die Laughing (2012),Comedy| Fantasy| Horror,24-04-2012,USA,2,100 min,Laura Romeo|Michael McGovern|Aaron Bernard|Angelo Bruni|Diana Silvio|Antietam|Kimberly Naim|Tiffany Apan|Angie Azur|Stacey Bartlebaugh-Gmys|Daniel Baxter|Michael Burkett|Diane Cholock|Mike Danylo|David Dietz,English,"Pittsburgh, Pennsylvania, USA"
Shame the Devil (2013),Crime| Horror| Thriller,09-09-2014,USA,3.5,94 min,Simon Phillips|Juliette Bennett|Will de Meo|Bradford West|Doug Bradley|Kellie Shirley|Peter Woodward|Peter Barrett|Lucy Clements|Jack Murray|Martin Fisher|Leo Goodman|Thomas Worthington|Warwick Evans|Charlotte Lewis,English,"London, England, UK"
Holla II (2013),Comedy| Horror,19-04-2013,USA,6.9,90 min,Vanessa Bell Calloway|Kiely Williams|Greg Cipes|Trae Ireland|Allison Kyler|Teairra Mari|Liana Mendoza|Omar Gooding|Laila Odom|Akeem Smith|Shelli Boone|Crystal Hoang|Masasa Moyo|Chase Anthony|Cyann Ribeiro,English,"Ellenton, Florida, USA"
The Tale of the Voodoo Prostitute (2012),Horror,05-06-2012,USA,4.1,75 min,Jayde Kelley|Heather McCormick|Charles Buchanan|Martin Ezelle|Joshua Winch|Trent Hotman|Kenneth Duane|Derrick Pointer|Roger Nelson|Ron Clemons|Christina Wiley|Stefany Torres|Jeannie Stroumpos|Kate Lindeman|Suavey Harrison,English,"Dallas, Texas, USA"
Honeyspider (2014),Horror| Thriller,18-10-2014,USA,3.5,76 min,Frank J. Aard|Anjali Alm-Basu|Brad Baker|Katie Bearden|Franki Boegeman|Roberto Bricchi|Mariah Brown|Kenny Caperton|Haley Clutter|Ethan Dunn|Gina Eaton|Morgan Fraley|Ann Hale|Josh Hasty|David Hensley,English,"The Myers House NC, Hillsborough, North Carolina, USA"
Pinwheel (2017),Horror,10-01-2017,USA,4.7,88 min,Julie Ann Dawson|Ashley Couture|David Gere|Ox Baker|Jami Tennille|Ashley Tramonte|Greg Nutcher|Marisa Hunter|Mark Resnik|Jeffrey Alan Solomon|Buck Biestek|Nicole Bardis|Gunther Grambo|Gary Wolfenden|Bill Ziegler,English,"Middletown, Connecticut, USA"
Dead Walkers: Rise of the 4th Reich (2013),Horror,31-07-2013,USA,1.4,75 min,Philip Berzamanis|Jane Haslehurst|Bob Lee|Nathan Head|Rudy Barrow|Jack Burrows|Nikki Webster|Rachel Littlewood|Eirian Cohen|Melissa Hollett|Graham Keith Gill|Dayna Shuffle|Craig Canning|Kay Vardy|Tom Vardy,English|English,"Nottingham, Nottinghamshire, England, UK"
Demon Tongue (2016),Horror,21-06-2016,USA,2.3,85 min,Jack Davis|Debbie College|Seth Gontkovic|Jessica Long|Carrie Shoberg|Jeff Monahan|John W. Iwanonkiw|Lou Consolo|Dan Mahon|Matt Mahon|Sheri Rice|John H. Scott|Alex Zimmerman|Jayden Zimmerman,English,"Pittsburgh, Pennsylvania, USA"
True Love Ways (2015),Horror| Thriller,01-10-2015,Germany,5.7,95 min,Anna Hausburg|David C. Bunners|Kai Michael Müller|Michael Greiling|Axel Hartwig|Anja Margoni|Beat Marti|Margarita Ruhl|Marcel Schneider|Christian Samuel Weber|Alina Sophia Wiegert,German,"Berlin, Germany"
Hole (2010),Crime| Horror| Thriller,24-11-2015,USA,4.9,94 min,Jim Barile|Randall Barnes|Charlotte Bjornbak|Alina Bolshakova|Char Frost|Gavin Graham|Dennis Haggard|Theresa Holly|Teem Lucas|Joaquin Montalvan|Katherine Norland|Timothy John Norland|Patrick Prouty|Micki Quance|Paul E. Respass,English,"Bombay Beach, California, USA"
Sacrament (2014),Drama| Horror| Thriller,07-07-2014,USA,3.5,105 min,Avery Pfeiffer|Troy Ford|Brittany Badali|Amanda Rebholz|Cassandra Hierholzer|Henry Pao|Wesley Kimenyi|Cody Daniel|Joshua Cole Simmons|Richard Houghton|Cory W. Ahre|D'Jay Campbell|Marilyn Burns|Ed Guinn|Savannah Solsbery,English,"Texas, USA"
Visitantes (2014),Horror,18-12-2014,Mexico,4.9,100 min,Kate del Castillo|Raúl Méndez|Osvaldo de León|Aurora Papile|Angelina Peláez|Sophie Alexander-Katz|Cuauhtli Jiménez|André Collin,Spanish,Mexico
Dracula 2012 (2013),Horror,08-02-2013,India,2.5,137 min,Thilakan|Shradha Das|Monal Gajjar|Nassar|Prabhu|Sudheer Sukumaran,Tamil|Malayalam|Hindi|English,"Bran Castle, Bran, Brasov County, Romania"
The House Across the Street (2013),Horror| Thriller,10-04-2015,USA,3.5,93 min,Ethan Embry|Eric Roberts|Courtney Gains|Alex Rocco|Kati Salowsky|Jessica Sonneborn|Josh Hammond|Nick Apostolides|Dakota Shepard|Michele Mortensen|Mathew Fisher|Lauren Laperriere|Lee Simonds|Greg Shea|Sara Murphy,English,"Boston, Massachusetts, USA"
Murder in Miami (2014),Horror| Mystery| Thriller,18-02-2014,USA,5.4,87 min,Joseph Myers|Caroline Gutierrez|Oscar A. Diaz|Andy Sottilare|Alexandra Adomaitis|Jocelyn Binder|Amber Coyle|David Cozzo|Daniel Dasent|Nicole Marcos|Manuel Salcedo|Christopher di Pietro|Bambi la Fleur|Roland Alvarez|Rita Barcelo,English,"Miami, Florida, USA"
Mumbai 125 KM 3D (2014),Adventure| Horror| Mystery| Thriller,17-10-2014,India,2.9,100 min,Karanvir Bohra|Vedita Pratap Singh|Veena Malik|Joe Debroy|Aparna Bajpai|Vije Bhatia,Hindi,India
The Nanabijou Tapes (2014),Horror| Mystery| Thriller,15-08-2014,USA,7.9,80 min,Jeremy Siegfried|Steve Jankovic|Ryan Graham|Chris Borgo|Patrick Chondon|Annie McGuire|Steve Cava|Stephanie Elchuk|Allison Jarvis|Nancy Toffanin,English,"Thunder Bay, Ontario, Canada"
The Flaying (2012),Fantasy| Horror| Thriller,17-07-2012,Argentina,4.9,80 min,Olivia Tykocki|Juan Sebastian Alvarez Windey|Celeste Subatin|Emilio Martin,Spanish,"Buenos Aires Province, Argentina"
Bunni (2013),Horror,14-09-2013,USA,4.2,60 min,Sara Ammons|Daniel Benedict|Johnny Bilson|Eli Blue|Kent Blue|Steve Boling|Jaylynn Brice|Jovie Brice|Karen Carothers|Steve Champion|Laura Dawson|Chris Embry|Jo Lynn Embry|Cat Geary|Bronson Gregory,English,"Owensboro, Kentucky, USA"
Seventy-Nine (2013),Action| Horror| Mystery| Sci-Fi| Thriller,08-06-2017,USA,3.8,82 min,Adrian Voo|Bo Linton|Athena Baumeister|Velta Moore|Jonathan Rosenthal|Christine Springett|Kathinka van Putten|Patrick Edward Wynne|Caroline Attwood|Omar Hansen|Michael Whitton|David Neff|Russell Barry|Marilyn Redfearn|Will Leon,English,"Los Angeles, California, USA"
Voodoo Possession (2014),Drama| Horror| Mystery,14-01-2014,USA,2.4,94 min,Danny Trejo|Ryan Caltagirone|Kerry Knuppe|David Thomas Jenkins|Treva Etienne|Tomas Boykin|Nancy La Scala|Abe Spigner|Catherine Haena Kim|Marie-Françoise Theodore|Sloane Morgan Siegel|Gabe Eggerling|Dominic Conti|Darius Devontaye Green|Ama Amoafo-Yeboah,English,"Escarpment Studios - 5610 Soto Street, Huntington Park, California, USA"
Diane (2017),Crime| Drama| Horror| Mystery| Thriller,28-10-2017,USA,5.6,82 min,Jason Alan Smith|Carlee Avers|Margaret Rose Champagne|Dick Boland|Jim Thalman|Doug Tompos|Ryan Barry McCarthy|Davis Mikaels|Kathy Searle|Sewell Whitney|Kathrine Barnes|Bob Bannon|Daniel F. Patterson|Thomas K. Delson|Kimbette Fenol,English,"Hartford, Connecticut, USA"
The Sea Serpent (1985),Adventure| Horror,29-06-2015,USA,3.5,92 min,Timothy Bottoms|Taryn Power|Jared Martin|Ray Milland|Gérard Tichy|Carole James|Jack Taylor|León Klimovsky|Miguel de Grandy|Paul Benson|Charly Bravo|Víctor Israel|José Canalejas|Eduardo Bea|Teresa del Olmo,English,"Sesimbra, Setúbal, Portugal"
HazMat (2013),Horror| Thriller,11-03-2014,USA,3.8,80 min,Norbert Velez|Aniela McGuinness|Todd Bruno|Gema Calero|Giordan Diaz|Tom Stedham|Daniela Larez|Reggie Peters|Mario Nalini|Dennis Spain|Brandi Rudicil|Massiel Checo,English,"Miami, Florida, USA"
The Lurking (2015),Horror,10-12-2015,USA,6,61 min,Shayne White,English,"Wisconsin, USA"
La Petite Mort II (2014),Horror| Thriller,14-09-2014,Germany,3.6,90 min,Annika Strauss|Yvonne Wölke|Mika Metz|Micaela Schäfer|Gabriela Wirbel|Nicole Neukirch|Isabelle Fitzgerald|Bea La Bea|Ivana Konovic|Armin Barwich|Linda Mueller|Nicole Lauer|Kai Plaumann|Sebastian Rausenberger|Mario Zimmerschitt,German,"Frankfurt, Germany"
Brutal (2014),Action| Drama| Horror| Sci-Fi| Sport,05-01-2014,USA,2.9,90 min,Morgan Benoit|Jeff Hatch|David Mattey|Renata Green-Gaber|Stacy Jorgensen|Mario Kenyon|Christina Brooks|Collin Armstrong|Gary Backlund|Eric Bivoino|Jim Fath|Andrew Flaherty|Daniel Headecker|Michelle Kenyon|Keith Kowalczyk,English,"Central City Studio, Los Angeles, California, USA"
Attila (2013),Action| Horror| Thriller,31-12-2013,USA,1.9,85 min,Cheick Kongo|Chris Conrad|Mikayla S. Campbell|M. Steven Felty|Phillip Andre Botello|Xin Sarith Wuku|Poncho Hodges|Steve Hanks|Andria Kozica|J. Kristopher|Emmanuel Itier|Roxanna Bina|Bill Voorhees|Tre Ryan|Matt Kriger,English,"Los Angeles, California, USA"
Skookum: The Hunt for Bigfoot (2016),Horror,01-12-2016,USA,5.3,100 min,Paul Logan|Ashton Leigh|Dianna Renée|Shane Dzicek|Jeffrey Meldrum|Tom Malloy|David Joseph Martinez|Mike Wooley|Glynn Praesel|Rich Rossi|Josiah Cerio|Brooke Fontana|Nikki Wells|Michael Power|Ginger Cerio,English,"New Orleans, Louisiana, USA"
Beautiful Prison (2016),Drama| Horror| Romance| Thriller,12-07-2016,USA,4.4,83 min,Mónica Almanza|Valentina Arnold|Kristen Barrett|Benjamin Chamberlain|Ernesto D'Alessio|Leila Garza Stockwell|Liam Matthews|Caleb Pope|Jason Riley|Kaelin Stockwell|Isabel Zittel,English,"Manistee, Michigan, USA"
Willa (2012),Drama| Horror| Romance,28-06-2013,USA,6.4,82 min,Theodore Bouloukos|Gregory M. Brown|Jane Brown|Felix Flores|Jennifer Fouche|Sara Hogrefe|Susan Kirby|Barbara Linton|Amanda Marklin|Erik Jordan Meyers|Clayton Watson|Licia James Zegar,English,"Bridgehampton, Long Island, New York, USA"
Exit to Hell (2013),Action| Horror| Thriller,05-11-2013,USA,3.4,81 min,Kane Hodder|Tiffany Shepis|Dan Higgins|Jason Spisak|Owen Conway|Dustin Leighton|Taryn Maxximillian Dafoe|Rena Riffel|Shane Stevens|Jose Rosete|Shane Dean|Esther Goodstein|Tommy Wojtas|Michael Harrelson|Noah Todd,English,"Phoenix, Arizona, USA"
Kimmy Dora and the Temple of Kiyeme (2012),Comedy| Horror,13-06-2012,Philippines,6.4,105 min,Eugene Domingo|Ariel Ureta|Dingdong Dantes|Zanjoe Marudo|Miriam Quiambao|Moi Marcampo|Mura|Phillip Nolasco|Alodia Gosiengfiao|Ryan Bang|Kiray Celis|Jun Lalin|Geraldine Villamil|The Dog Mikky|Chul-bang Doo,Filipino|Tagalog|Korean,"N Seoul Tower, San 1-3, Yongsan-dong, Yongsan-gu, Seoul, South Korea"
Lady Belladonna's Night Shades (2016),Comedy| Horror,01-09-2016,USA,5.6,88 min,Tawnya Bass|Jack Lutz|Donny Prosise,English,"El Paso, Texas, USA"
"Gangsters, Guns & Zombies (2012)",Comedy| Horror,11-12-2012,USA,3.9,88 min,Vincent Jerome|Huggy Leaver|Fabrizio Santino|Cassandra Orhan|Charlie Rawes|Frank Rizzo|Jennie Lathan|Simon Mathews|Josh Myers|Sharon Lawrence|Siobhan Callas|Chris Manning-Perry|Rory Auskerry|Phil Mercer|Dave Skirbeck Bedford,English,"Kent, England, UK"
Everyone Must Die! (2012),Horror,23-09-2012,USA,4.6,71 min,Nicole Beattie|Erica Benda|Rebecca Campbell|Dan Christmas|Ben Dietels|Seth Gontkovic|Aleen Isley|Nick LaMantia|Scott Lewis|Clifford Lynch|Stephanie Michael|Michael Molinaro|Monique Odom|Derek Rothermund|Steve Rudzinski,English,"Wheeling, West Virginia, USA"
Bayou Ghost Story (2017),Drama| Horror| Mystery| Thriller,18-04-2017,USA,4.2,73 min,Andrew Panzarella|Jared Fleming|Armand Petri|Cheryl Gautier|Chris Fontenot Jr.|Kerry Kelly Gridley|Evette Randolph|Emily Russell|Patrick Calabrese|Sam Furman|Hailey Chown|Tiray Dove|Alexander Burgos|Shirley Tregre|Denise Lambert,English,"Mandeville, Louisiana, USA"
Hazard Jack (2014),Horror,13-05-2014,USA,2.7,82 min,Amanda Maddox|Kevin James Sporman|Alison Lani|Macauley Gray|Jason O'neil Hudson|Aimee Bello|Zachary Meyer|Deanna Meske|Josh Jacques|Jeremy Ebenstein|Ashley Walsh|Daniel Rivera|Joe Orrach|Shaun Hart|Matthew Plueger,English,"Linda Vista Hospital - 610 S. St. Louis Street, Los Angeles, California, USA"
The Cutting Room (2015),Horror,01-06-2015,UK,3.9,75 min,Parry Glasspool|Lucy-Jane Quinlan|Lydia Orange|TJ Herbert|Jason Rhodes|Mkaya Carrigan|Louisa Adams|Sam Chittenden|Andromeda Godfrey|Neil James|Emily Jayne|Roger O'Hara|Karen Boniface|Rick Roberts|Michaela Eades Twaits,English,"Newhaven Fort, Fort Road, Newhaven, East Sussex, England, UK"
A House Is Not a Home (2015),Horror| Thriller,07-09-2015,USA,4.1,87 min,Gerald Webb|Bill Cobbs|Richard Grieco|Eddie Steeples|Diahnna Nicole Baxter|Aurora Perrineau|Melvin Gregg|Tanya Giang|Wesley Waite|Addy Ray|Naomi Griffin|Howie Walfish,English,"Simi Valley, California, USA"
Reminiscence: The Beginning (2014),Horror| Romance| Thriller,01-06-2014,Turkey,6.4,100 min,Özlem Begtas|Fatih Güler|Sefika Karaaslan|Serhat Karaaslan|Akçay Karaazmak|Yasar Karaazmak|Michaela Rexova|Levent Turan|Naz Turan|Ilkay Özyigit,English,"Izmir, Turkey"
Lost Lake (2012),Horror| Thriller,13-11-2013,Germany,3.4,85 min,Ezra Buzzington|Katie Keene|John Shartzer|Pat McNeely|Kimberly Stewart|Chris Hammel|Sherry Weston|Brian Dullaghan|Andy Ledesma,English,"Trona, California, USA"
Jake's Road (2017),Action| Horror| Thriller,23-09-2017,USA,4,85 min,Eric Roberts|Garrett Hines|Leticia Jimenez|Patrick Flanagan|Tim Bell|Mike Mayhall|Ashton Leigh|Miles Doleac|Taryn Terrell|Kristin Samuelson,English,"Folsom, Louisiana, USA"
Bodies (2016),Horror,05-05-2016,USA,4.5,98 min,Joe Bocian|Brian Landis Folkins|Jenice Marshall|Tessa Baldwin|Brit Cormack|Ashley Davis|Katelynn Derengowski|Katy Grant|Kaitlyn 'KJ' Jaffke|Randen Kelly|Mia Klosterman|Don-John Kulish|Cassie Leal|Greg Maloney|Candace Maxwell,English,"Denver, Colorado, USA"
Wild Men (2017),Adventure| Comedy| Horror,07-02-2017,USA,6.9,90 min,Zack Abramowitz|Alexander Stine|Erin Anne MacDonald|James Rich|Joshua Michael Payne|Rica de Ocampo|Randolph Hubard|Sarah Grace Sanders|Richard Nwaoko|Chaka Desilva|Jon Savoy|Claudine Quadrat|Alex Valderana|Jamal Hodge|Theodore Bouloukos,English,"Pawling, New York, USA"
The Man in the Orange Jacket (2014),Horror| Mystery| Thriller,27-02-2015,Latvia,5.1,71 min,Anta Aizupe|Maxim Lazarev|Aris Rozentals,Latvian,Latvia
Scream Park (2012),Horror,25-04-2016,UK,4.2,85 min,Wendy Wygant|Steve Rudzinski|Kevin 'ohGr' Ogilvie|Alicia Marie Marcucci|Doug Bradley|Nicole Beattie|Tyler Kale|Ian Lemmon|Kyle Riordan|Dean Jacobs|Kailey Marie Harris|Carrie Lee Martz,English,"University of Pittsburgh, Pittsburgh, Pennsylvania, USA"
